swi_issue_id,issue_name,issue_description,Year,Quarter,LDA_frequency
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2010,2,300
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2011,1,255
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2011,4,275
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2012,3,280
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2013,2,291
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2014,1,276
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2014,4,256
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2015,3,258
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2016,2,275
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2017,1,259
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2017,4,274
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2018,3,329
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2019,2,334
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2020,1,404
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2019,4,243
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2020,3,250
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2021,2,334
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2022,1,346
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2022,4,314
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2023,3,266
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2024,2,278
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2014,4,2933
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2015,3,3164
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2016,2,3176
3,Health,"Healthcare subtopics, appropriations for healthcare agencies, and other health issues",2017,1,3333
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2020,4,452
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2021,3,402
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2022,2,432
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2023,1,385
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2023,4,398
1,Macroeconomics,Domestic macroeconomic subtopics and issues relating to the macroeconomy or macroeconomic policy,2024,3,414
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2010,1,152
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2010,4,159
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2011,3,139
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2012,2,148
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2013,1,184
2,"Civil Rights, Minority Issues, and Civil Liberties","Civil rights subtopics and issues related to civil rights, minority issues, and civil liberties",2013,4,180
