swi_issue_id,issue_name,Year,Quarter,lobbying_expenses
1,Macroeconomics,2016,4,3860756.20106264956
1,Macroeconomics,2017,3,4715823.28339185286
1,Macroeconomics,2018,2,4695148.46897411098
1,Macroeconomics,2019,1,4462904.33906363790
1,Macroeconomics,2019,4,4081156.80241286447
1,Macroeconomics,2020,3,8277801.72907325431
1,Macroeconomics,2021,2,6351119.54558136671
1,Macroeconomics,2022,1,7616750.42634456131
1,Macroeconomics,2022,4,7382735.51224126364
1,Macroeconomics,2023,3,6101771.04931175671
1,Macroeconomics,2024,2,7088627.30285694646
2,"Civil Rights, Minority Issues, and Civil Liberties",2011,4,4328055.11377841791
2,"Civil Rights, Minority Issues, and Civil Liberties",2012,3,4940682.47832710778
2,"Civil Rights, Minority Issues, and Civil Liberties",2013,2,11095602.91575701099
2,"Civil Rights, Minority Issues, and Civil Liberties",2014,1,7684790.28138731004
2,"Civil Rights, Minority Issues, and Civil Liberties",2014,4,6360071.39571491103
2,"Civil Rights, Minority Issues, and Civil Liberties",2015,3,6331943.18452103423
2,"Civil Rights, Minority Issues, and Civil Liberties",2016,2,7453168.62419482785
2,"Civil Rights, Minority Issues, and Civil Liberties",2017,1,9087953.42870222717
2,"Civil Rights, Minority Issues, and Civil Liberties",2017,4,9081830.90302713274
2,"Civil Rights, Minority Issues, and Civil Liberties",2018,3,9796307.94408612011
2,"Civil Rights, Minority Issues, and Civil Liberties",2019,2,10067309.09802850629
2,"Civil Rights, Minority Issues, and Civil Liberties",2020,1,10272112.98578331616
2,"Civil Rights, Minority Issues, and Civil Liberties",2020,4,12315410.95778619077
2,"Civil Rights, Minority Issues, and Civil Liberties",2021,3,14527267.62956396982
2,"Civil Rights, Minority Issues, and Civil Liberties",2022,2,14179416.16429936148
2,"Civil Rights, Minority Issues, and Civil Liberties",2023,1,12861369.90107268514
3,Health,2010,3,138600807.32637066305
3,Health,2011,2,136605275.43712337926
3,Health,2012,1,143449686.58534969071
3,Health,2012,4,131469760.21236189713
3,Health,2013,3,132250648.26930474789
3,Health,2014,2,134623737.92329177797
3,Health,2015,1,143074623.01028481768
3,Health,2015,4,130443035.98626149879
3,Health,2016,3,134321805.86712646637
3,Health,2017,2,150698252.27515076940
3,Health,2018,1,161925576.99852088735
4,Agriculture,2010,1,33733934.50955738557
4,Agriculture,2010,4,29413640.97835343023
4,Agriculture,2011,3,27614827.48065660273
4,Agriculture,2012,2,33258726.81787273762
4,Agriculture,2013,1,32093980.43202507966
6,Education,2023,4,22157837.99403915968
6,Education,2024,3,22218479.97123202353
7,Environment,2018,4,35689461.21974278504
7,Environment,2019,3,35932857.54310997491
7,Environment,2020,2,33202403.97078043245
7,Environment,2021,1,38170398.64081944687
7,Environment,2021,4,45032516.72938810300
7,Environment,2022,3,45659779.71478868657
7,Environment,2023,2,45099616.92385924467
7,Environment,2024,1,52424763.30688449637
7,Environment,2024,4,48853445.23076833922
8,Energy,2013,4,54852232.80728813135
8,Energy,2014,3,48132675.43637582217
8,Energy,2015,2,46606318.08270415306
8,Energy,2016,1,48494350.34481381257
8,Energy,2016,4,43987444.73708166418
8,Energy,2017,3,41313840.00967228303
8,Energy,2018,2,41733367.04898033907
8,Energy,2019,1,44223531.26570608755
8,Energy,2019,4,43129589.18004861741
8,Energy,2020,3,37263402.20712025021
8,Energy,2021,2,43303329.39972363265
8,Energy,2022,1,52623659.34193421308
8,Energy,2022,4,54569411.11077139112
1,Macroeconomics,2010,3,3945189.61795065147
1,Macroeconomics,2011,2,3676480.13150314558
1,Macroeconomics,2012,1,5125731.93937464484
3,Health,2022,4,196458105.63488205823
3,Health,2023,3,199569630.69259108928
3,Health,2024,2,203689623.64498543764
4,Agriculture,2017,4,31390518.84210041485
4,Agriculture,2018,3,34081570.15781604527
4,Agriculture,2019,2,33275946.31368022030
4,Agriculture,2020,1,33650619.55511017525
4,Agriculture,2020,4,31497807.14290607643
4,Agriculture,2021,3,30674572.93073436525
4,Agriculture,2022,2,37075469.61582986457
4,Agriculture,2023,1,44224695.87908554076
4,Agriculture,2023,4,45003438.20060774042
4,Agriculture,2024,3,45466446.74934823492
5,Labor and Employment,2012,4,19095433.71278014098
5,Labor and Employment,2013,3,17052582.72582032300
5,Labor and Employment,2014,2,17553314.85740937126
5,Labor and Employment,2015,1,16370364.26336976051
5,Labor and Employment,2015,4,18911860.09390201196
5,Labor and Employment,2016,3,21486541.76883961817
5,Labor and Employment,2017,2,20999233.87912844043
5,Labor and Employment,2018,1,22276434.82041742382
5,Labor and Employment,2018,4,20910273.15820481444
5,Labor and Employment,2019,3,19296636.06324288770
5,Labor and Employment,2020,2,21046065.63315172609
5,Labor and Employment,2021,1,24454579.82091007137
5,Labor and Employment,2021,4,30237215.74401733730
5,Labor and Employment,2022,3,33270679.35751020174
5,Labor and Employment,2023,2,31105224.83967946914
5,Labor and Employment,2024,1,32481292.84247568367
6,Education,2010,1,20209626.65893796679
6,Education,2010,4,19345372.36967914591
6,Education,2011,3,19616875.82853874617
6,Education,2012,2,20699516.16936102087
6,Education,2013,1,17837194.08340736443
6,Education,2013,4,17547048.70283364304
6,Education,2014,3,17379113.98986117157
6,Education,2015,2,19122073.84692203975
6,Education,2016,1,17356210.78174024274
6,Education,2016,4,16676362.22084679885
6,Education,2017,3,16699878.07376341883
6,Education,2018,2,19452070.83219559397
6,Education,2019,1,19083827.99861323818
7,Environment,2010,2,59588271.14834680455
7,Environment,2011,1,53791728.16981037842
7,Environment,2011,4,52284625.85998704826
7,Environment,2012,3,47187123.85941755034
7,Environment,2013,2,43079052.15612523192
7,Environment,2014,1,43811213.41294031706
9,Immigration,2024,4,14535793.00596885070
10,Transportation,2019,4,56110804.51828197124
10,Transportation,2020,3,52189383.19914884948
10,Transportation,2021,2,60690656.95017197202
10,Transportation,2022,1,63665190.91546928631
10,Transportation,2022,4,63417802.10400251090
10,Transportation,2023,3,66779107.74028525862
10,Transportation,2024,2,65752523.43994708008
11,"Law, Crime, and Family Issues",2014,4,15431211.68785278984
11,"Law, Crime, and Family Issues",2015,3,12439789.80956195425
11,"Law, Crime, and Family Issues",2016,2,14886679.57912154072
